,Actual_Temperature,Predicted_Temperature
992,24.916666,24.872442
993,27.266666,25.438848
994,27.844446,27.823555
995,29.71667,28.039484
996,30.022224,29.325615
997,30.0,29.650597
998,29.855556,28.949219
999,29.949999,28.788847
1000,28.794447,29.027344
1001,26.933332,27.432714
1002,25.905556,25.228527
1003,25.305557,24.760885
1004,24.344444,23.968105
1005,13.877776,22.772808
1006,13.783333,14.077678
1007,15.577779,13.184603
1008,13.11111,16.153841
1009,13.527779,13.566142
1010,12.4833355,13.515751
1011,13.577776,12.810929
1012,15.777777,14.746067
1013,18.522223,17.927908
1014,22.222221,20.368858
1015,24.027779,24.296604
1016,26.01111,25.430445
1017,27.244444,26.765436
1018,27.777779,27.653574
1019,27.844446,27.782503
1020,28.88889,27.242409
1021,28.96111,28.300852
1022,28.81667,28.385754
1023,28.938887,27.785475
1024,27.266666,27.780706
1025,24.216667,26.508926
1026,21.16111,23.656277
1027,20.350002,20.926697
1028,19.055557,19.751917
1029,23.061111,18.238688
1030,21.438889,21.708548
1031,21.211111,20.461102
1032,20.92778,20.427599
1033,20.344446,20.49077
1034,19.76111,19.32192
1035,19.816668,19.132196
1036,20.905556,20.188005
1037,22.294445,21.93383
1038,25.81111,22.965546
1039,26.98889,27.03779
1040,27.372221,27.652628
1041,28.722223,27.095753
1042,28.772224,28.395887
1043,30.672224,28.447956
1044,30.95,30.217688
1045,31.044445,30.578962
1046,31.722223,30.6641
1047,30.86111,30.867239
1048,27.500002,29.587923
1049,24.905554,25.847412
1050,22.55,23.048145
1051,22.922222,22.035002
1052,20.23889,22.006462
1053,19.26111,19.45897
1054,18.711113,18.519835
1055,17.866667,17.540445
1056,17.11111,17.21973
1057,16.533335,16.92728
1058,17.96111,16.078592
1059,16.044445,18.549467
1060,18.638887,17.122072
1061,18.794447,19.280619
1062,20.072222,18.770208
1063,22.82778,20.516441
1064,27.905556,24.12929
1065,29.516666,30.345734
1066,30.761108,31.063845
1067,31.616665,30.632504
1068,31.900002,30.853642
1069,30.9,30.990164
1070,30.816668,29.991444
1071,30.877777,29.633583
1072,28.772224,29.661634
1073,25.877777,27.170502
1074,23.750002,23.970543
1075,22.105555,22.056011
1076,22.56667,20.733591
1077,21.483334,21.38403
1078,19.933334,20.92456
1079,21.833334,18.749796
1080,18.866667,21.444124
1081,18.266665,18.126808
1082,20.683332,17.853123
1083,20.92778,20.169815
1084,21.994442,21.564587
1085,22.53889,22.470766
1086,23.938887,22.680977
1087,27.733332,24.47152
1088,29.977777,28.801908
1089,32.616665,30.965593
1090,33.711113,33.287533
1091,34.405556,33.355244
1092,33.77222,33.290585
1093,33.794445,32.342236
1094,33.47778,32.23148
1095,32.711113,31.990938
1096,32.038887,30.979311
1097,27.67222,30.320501
1098,25.877777,25.254519
1099,24.772223,24.346138
1100,22.938887,23.26634
1101,23.31111,20.845327
1102,21.16111,22.788963
1103,22.63889,19.55576
1104,20.488888,22.541574
1105,21.0,19.281261
1106,21.416664,20.647419
1107,20.977777,21.537132
1108,22.577778,21.326721
1109,24.722221,23.054882
1110,27.744444,25.296896
1111,30.955553,28.182188
1112,32.6,31.911686
1113,34.844444,33.07233
1114,35.97778,34.251118
1115,36.961113,35.128437
1116,37.127777,35.32015
1117,37.122223,35.282127
1118,36.97222,35.00053
1119,37.072224,34.77099
1120,33.81111,34.976776
1121,30.961113,31.36595
1122,30.883333,28.022406
1123,29.027779,29.36298
1124,28.21667,26.780102
1125,26.600002,25.699686
1126,26.416664,24.702534
1127,22.877777,25.570776
